serial,name,value,notes
16-50635,CC_C1,1.010163e+003,
16-50635,CC_C2,-2.462560e-004,
16-50635,CC_C3,-9.255480e-005,
16-50635,CC_D1,3.162400e-002,
16-50635,CC_D2,0.000000e+000,
16-50635,CC_T1,2.776884e+001,
16-50635,CC_T2,-8.618810e-005,
16-50635,CC_T3,1.025970e-006,
16-50635,CC_T4,1.680000e-009,
16-50635,CC_T5,0.000000e+000,
16-50635,CC_a0,1.21527761e-003,
16-50635,CC_a1,2.79521508e-004,
16-50635,CC_a2,-1.18170916e-006,
16-50635,CC_a3,1.82950661e-007,
16-50635,CC_cpcor,-9.57000000e-008,
16-50635,CC_ctcor,3.2500e-006,
16-50635,CC_g,-1.00584897e+000,
16-50635,CC_h,1.41701616e-001,
16-50635,CC_i,-5.28702828e-005,
16-50635,CC_j,2.63405347e-005,
