serial,name,value,notes
37-11595,CC_a0,-0.0001178633,
37-11595,CC_a1,0.0003088862,
37-11595,CC_a2,-4.654158e-06,
37-11595,CC_a3,2.075762e-07,
37-11595,CC_cpcor,-9.57e-08,
37-11595,CC_ctcor,3.25e-06,
37-11595,CC_g,-0.9858909,
37-11595,CC_h,0.1689614,
37-11595,CC_i,-0.0003329604,
37-11595,CC_j,5.436468e-05,
37-11595,CC_p_range,1450,
37-11595,CC_pa0,0.2785405,
37-11595,CC_pa1,0.004506438,
37-11595,CC_pa2,-1.352383e-11,
37-11595,CC_ptca0,525028.7,
37-11595,CC_ptca1,3.185406,
37-11595,CC_ptca2,0.006143501,
37-11595,CC_ptcb0,25.28025,
37-11595,CC_ptcb1,0.00285,
37-11595,CC_ptcb2,0,
37-11595,CC_ptempa0,-69.87663,
37-11595,CC_ptempa1,0.05299285,
37-11595,CC_ptempa2,-9.395252e-07,
37-11595,CC_wbotc,2.0668e-07,
