serial,name,value,notes
37-13600,CC_a0,-1.656211e-004,source_file: 13600.cal
37-13600,CC_a1,3.080089e-004,
37-13600,CC_a2,-4.046499e-006,
37-13600,CC_a3,1.899995e-007,
37-13600,CC_g,-1.013561e+000,
37-13600,CC_h,1.653826e-001,
37-13600,CC_i,-4.763025e-004,
37-13600,CC_j,6.499613e-005,
37-13600,CC_ctcor,3.250000e-006,
37-13600,CC_cpcor,-9.570000e-008,
37-13600,CC_wbotc,9.403301e-007,
37-13600,CC_pa0,2.857361e-001,
37-13600,CC_pa1,4.478263e-003,
37-13600,CC_pa2,-1.538572e-011,
37-13600,CC_ptca0,5.243985e+005,
37-13600,CC_ptca1,4.239818e+000,
37-13600,CC_ptca2,-6.697586e-002,
37-13600,CC_ptcb0,2.505842e+001,
37-13600,CC_ptcb1,-6.783920e-004,
37-13600,CC_ptcb2,0.000000e+000,
37-13600,CC_ptempa0,-6.629624e+001,
37-13600,CC_ptempa1,5.319305e-002,
37-13600,CC_ptempa2,-7.582481e-007,
