serial,name,value,notes
37-13427,CC_a0,-1.643081e-004,source_file CTDMO-G_SBE_37IM_SN_37-13427_Calibration_Files_2025-01-16.zip > 13427.cal
37-13427,CC_a1,3.147809e-004,
37-13427,CC_a2,-4.853280e-006,
37-13427,CC_a3,2.128678e-007,
37-13427,CC_g,-9.907184e-001,
37-13427,CC_h,1.370733e-001,
37-13427,CC_i,-1.226035e-004,
37-13427,CC_j,2.785713e-005,
37-13427,CC_ctcor,3.250000e-006,
37-13427,CC_cpcor,-9.570000e-008,
37-13427,CC_wbotc,1.858913e-007,
37-13427,CC_pa0,-3.963817e-001,
37-13427,CC_pa1,4.486888e-003,
37-13427,CC_pa2,-4.069354e-011,
37-13427,CC_ptca0,5.249258e+005,
37-13427,CC_ptca1,-1.385279e+000,
37-13427,CC_ptca2,-1.162346e-001,
37-13427,CC_ptcb0,2.504650e+001,
37-13427,CC_ptcb1,1.000000e-004,
37-13427,CC_ptcb2,0.000000e+000,
37-13427,CC_ptempa0,1.449902e+002,
37-13427,CC_ptempa1,-6.696289e-002,
37-13427,CC_ptempa2,2.428504e-007,
37-13427,CC_p_range,1450,
