serial,name,value,notes
16-50119,CC_a0,1.27459185e-003,
16-50119,CC_a1,2.72330637e-004,
16-50119,CC_a2,-1.18001381e-006,
16-50119,CC_a3,1.81579473e-007,
16-50119,CC_cpcor,-9.57000000e-008,
16-50119,CC_ctcor,3.2500e-006,
16-50119,CC_g,-9.78796236e-001,
16-50119,CC_h,1.40450722e-001,
16-50119,CC_i,-2.62732660e-004,
16-50119,CC_j,4.15427206e-005,
16-50119,CC_pa0,1.65067238e+000,
16-50119,CC_pa1,1.56498132e-002,
16-50119,CC_pa2,-6.84159468e-010,
16-50119,CC_ptca0,5.24713694e+005,
16-50119,CC_ptca1,7.72881974e+000,
16-50119,CC_ptca2,-1.22764267e-001,
16-50119,CC_ptcb0,2.51698750e+001,
16-50119,CC_ptcb1,1.17500000e-003,
16-50119,CC_ptcb2,0.00000000e+000,
16-50119,CC_ptempa0,-7.00741794e+001,
16-50119,CC_ptempa1,5.00988500e+001,
16-50119,CC_ptempa2,-2.53875580e-001,
16-50119,CC_offset,0,
