serial,name,value,notes
18261,CC_scale_factor1,0.45,constant; source_file ADCPS-L_WHLS75-1500-I_SN_18261_Inspection_Report_2023-08-11.pdf > Final Report date
18261,CC_scale_factor2,0.45,constant
18261,CC_scale_factor3,0.45,constant
18261,CC_scale_factor4,0.45,constant
18261,CC_bin_size,0,in cm; return from vendor - not allocated yet
18261,CC_dist_first_bin,0,in cm; return from vendor - not allocated yet
18261,CC_orientation,1,1 is upward looking; 0 is downward looking
