serial,name,value,notes
1167,CC_cal_temp,20.00,date in filename comes from latest caldate within calfile SNA1167Y.cal
1167,CC_di,"[-22.66666667, -20.54166667, -20.00000000, -19.70833333, -17.37500000, -21.50000000, -19.83333333, -18.04166667, -3.08333333, 86.58333333, 389.16666667, 1200.66666667, 2961.70833333, 6044.08333333, 10334.50000000, 14954.41666667, 18885.25000000, 21659.12500000, 23451.79166667, 24648.08333333, 25624.45833333, 26639.04166667, 27816.41666667, 29282.54166667, 30941.41666667, 32946.41666667, 35427.75000000, 37945.79166667, 40499.33333333, 42959.75000000, 45119.08333333, 46776.66666667, 47847.16666667, 48150.79166667, 47665.41666667, 46525.95833333, 44825.58333333, 42781.70833333, 40652.62500000, 38589.54166667, 36716.70833333, 35158.20833333, 33926.95833333, 33085.54166667, 32600.45833333, 32458.95833333, 32668.45833333, 33202.58333333, 34033.41666667, 35136.95833333, 36576.37500000, 38197.45833333, 40028.62500000, 42011.04166667, 43995.95833333, 46027.87500000, 47860.12500000, 49521.95833333, 50773.58333333, 51647.54166667, 51943.75000000, 51717.54166667, 50933.20833333, 49540.70833333, 47802.66666667, 45703.29166667, 43426.25000000, 41093.58333333, 38823.41666667, 36640.16666667, 34672.20833333, 32933.16666667, 31440.75000000, 30159.50000000, 29066.91666667, 28187.58333333, 27484.20833333, 26939.91666667, 26548.33333333, 26304.91666667, 26166.79166667, 26163.16666667, 26263.37500000, 26450.87500000, 26164.79166667, 26557.62500000, 27638.45833333, 28273.66666667, 28879.16666667, 29496.75000000, 30116.62500000, 30716.37500000, 31200.12500000, 31614.58333333, 31878.66666667, 31959.91666667, 31849.12500000, 31524.41666667, 30981.79166667, 30246.29166667, 29306.25000000, 28260.37500000, 27127.12500000, 26002.08333333, 24851.37500000, 23736.54166667, 22683.87500000, 21719.79166667, 20864.25000000, 20090.45833333, 19427.87500000, 18858.66666667, 18398.12500000, 18015.87500000, 17703.29166667, 17496.75000000, 17361.50000000, 17311.08333333, 17333.37500000, 17430.87500000, 17612.54166667, 17845.37500000, 18167.04166667, 18559.54166667, 19002.87500000, 19528.87500000, 20121.87500000, 20771.37500000, 21465.50000000, 22185.50000000, 22917.83333333, 23702.20833333, 24479.25000000, 25205.75000000, 25934.41666667, 26612.91666667, 27228.29166667, 27790.66666667, 28235.75000000, 28615.87500000, 28872.00000000, 28981.45833333, 29015.75000000, 28922.33333333, 28711.58333333, 28375.50000000, 27953.54166667, 27441.54166667, 26883.08333333, 26232.20833333, 25553.95833333, 24863.41666667, 24138.58333333, 23420.37500000, 22719.04166667, 22029.04166667, 21364.62500000, 20741.29166667, 20167.50000000, 19638.08333333, 19154.12500000, 18729.41666667, 18345.83333333, 18020.50000000, 17715.91666667, 17427.37500000, 17169.62500000, 16920.91666667, 16668.29166667, 16439.50000000, 16192.41666667, 15971.87500000, 15766.66666667, 15583.75000000, 15426.70833333, 15299.87500000, 15191.20833333, 15113.83333333, 15065.75000000, 15041.95833333, 15036.16666667, 15055.62500000, 15073.54166667, 15115.66666667, 15153.25000000, 15181.66666667, 15217.58333333, 15264.54166667, 15300.29166667, 15336.50000000, 15363.12500000, 15377.58333333, 15402.12500000, 15409.83333333, 15417.50000000, 15439.50000000, 15435.54166667, 15404.37500000, 15375.00000000, 15333.37500000, 15267.54166667, 15196.29166667, 15109.45833333, 14997.00000000, 14882.66666667, 14723.04166667, 14557.33333333, 14375.75000000, 14160.45833333, 13927.33333333, 13680.75000000, 13406.62500000, 13126.58333333, 12851.91666667, 12554.79166667, 12260.79166667, 11976.91666667, 11670.70833333, 11386.66666667, 11114.20833333, 10845.87500000, 10585.20833333, 10327.83333333, 10056.12500000, 9776.29166667, 9491.70833333, 9232.45833333, 9001.33333333, 8782.58333333, 8598.54166667, 8429.91666667, 8281.62500000, 8156.20833333, 8052.41666667, 7956.75000000, 7869.79166667, 7784.95833333, 7708.70833333, 7620.16666667, 7511.33333333, 7388.87500000, 7287.08333333, 7197.91666667, 7115.12500000, 7047.37500000, 6992.66666667, 6937.41666667, 6893.20833333, 6871.75000000, 6850.16666667, 6858.54166667, 6858.75000000, 6851.12500000, 6856.66666667, 6819.20833333, 6490.37500000]",
1167,CC_eno3,"[-0.00014269, 0.00644150, 0.00774533, 0.00275156, 0.01051909, 0.00659415, -0.00186473, 0.00058003, -0.00254028, 0.00685441, 0.00286838, 0.00429415, 0.00405331, -0.00141949, 0.00330681, -0.00360000, -0.00532387, 0.00668744, 0.00546017, 0.00270440, 0.00457801, 0.00461017, 0.00641748, 0.00674128, 0.00661751, 0.00653653, 0.00621583, 0.00600387, 0.00574030, 0.00548360, 0.00517760, 0.00490332, 0.00460918, 0.00432018, 0.00401329, 0.00370396, 0.00340154, 0.00311313, 0.00281698, 0.00254447, 0.00227387, 0.00203866, 0.00181001, 0.00158137, 0.00139252, 0.00121267, 0.00103583, 0.00089413, 0.00075716, 0.00064011, 0.00053215, 0.00044698, 0.00036792, 0.00030717, 0.00025606, 0.00020315, 0.00016252, 0.00013245, 0.00010508, 0.00007184, 0.00006111, 0.00004116, 0.00003395, 0.00001932, 0.00001059, 0.00000151, -0.00000398, -0.00000915, -0.00001115, -0.00000975, -0.00000745, -0.00002051, -0.00001580, -0.00000625, -0.00000653, -0.00000119, -0.00000943, -0.00000263, -0.00000570, -0.00000130, 0.00000720, 0.00000109, 0.00000321, 0.00000329, 0.00000410, 0.00001037, 0.00001618, 0.00002280, 0.00001832, 0.00001751, 0.00002467, 0.00003191, 0.00003180, 0.00003239, 0.00004636, 0.00004581, 0.00005233, 0.00004670, 0.00005198, 0.00005841, 0.00005915, 0.00006303, 0.00006732, 0.00007345, 0.00008312, 0.00007398, 0.00007280, 0.00008043, 0.00009163, 0.00008345, 0.00009078, 0.00010122, 0.00009538, 0.00011372, 0.00010211, 0.00010099, 0.00010878, 0.00010205, 0.00009932, 0.00010397, 0.00010675, 0.00011591, 0.00012711, 0.00013066, 0.00014991, 0.00015317, 0.00016455, 0.00015152, 0.00014941, 0.00015170, 0.00014997, 0.00015536, 0.00015853, 0.00016930, 0.00017477, 0.00017381, 0.00017844, 0.00017792, 0.00018035, 0.00017783, 0.00018144, 0.00018224, 0.00019349, 0.00018731, 0.00019756, 0.00019726, 0.00019897, 0.00020675, 0.00020863, 0.00020973, 0.00022073, 0.00022536, 0.00022219, 0.00023066, 0.00023406, 0.00024227, 0.00023440, 0.00023700, 0.00024657, 0.00024728, 0.00024649, 0.00024478, 0.00025164, 0.00026400, 0.00026649, 0.00026420, 0.00026689, 0.00027520, 0.00026042, 0.00025984, 0.00026993, 0.00026487, 0.00027347, 0.00026987, 0.00028161, 0.00027298, 0.00029890, 0.00029259, 0.00030363, 0.00029771, 0.00030696, 0.00031775, 0.00030461, 0.00030343, 0.00031575, 0.00030487, 0.00032863, 0.00031664, 0.00032148, 0.00033024, 0.00032966, 0.00033894, 0.00034972, 0.00035492, 0.00035076, 0.00036201, 0.00036575, 0.00034723, 0.00036290, 0.00034945, 0.00037115, 0.00036623, 0.00037691, 0.00036118, 0.00038279, 0.00037548, 0.00038418, 0.00039379, 0.00038624, 0.00038718, 0.00040761, 0.00039207, 0.00040516, 0.00041607, 0.00040977, 0.00040997, 0.00041600, 0.00043110, 0.00042775, 0.00043265, 0.00041666, 0.00042120, 0.00043899, 0.00042868, 0.00045223, 0.00046514, 0.00047075, 0.00047013, 0.00048591, 0.00046787, 0.00044300, 0.00047346, 0.00046463, 0.00045346, 0.00041847, 0.00046971, 0.00045802, 0.00045169, 0.00050731, 0.00050201, 0.00051465, 0.00050908, 0.00047948, 0.00049086, 0.00045765, 0.00050212, 0.00050732, 0.00050671, 0.00050028, 0.00048502, 0.00050483, 0.00053800, 0.00054415, 0.00052782, 0.00056037, 0.00055692]",
1167,CC_eswa,"[0.00739655, 0.00493131, -0.00960369, -0.00497688, -0.02374814, -0.00582339, 0.00103474, 0.00349049, 0.01584493, 0.03011722, 0.04077785, 0.05960202, 0.06496573, 0.06871463, 0.07677484, 0.08335889, 0.08574035, 0.08346492, 0.08143169, 0.07671862, 0.07106362, 0.06268159, 0.05407592, 0.04626430, 0.03913224, 0.03276269, 0.02730936, 0.02259995, 0.01863265, 0.01526190, 0.01245920, 0.01010806, 0.00815502, 0.00654119, 0.00522037, 0.00415070, 0.00328852, 0.00258536, 0.00203438, 0.00158868, 0.00124459, 0.00097061, 0.00076636, 0.00062210, 0.00048888, 0.00038611, 0.00033015, 0.00027056, 0.00022257, 0.00019844, 0.00017368, 0.00014572, 0.00012539, 0.00010723, 0.00008678, 0.00008255, 0.00006543, 0.00005574, 0.00004246, 0.00004251, 0.00003072, 0.00003291, 0.00001375, 0.00000791, 0.00000854, 0.00000545, -0.00000341, -0.00000034, -0.00000113, -0.00000050, -0.00000399, -0.00000116, -0.00000420, -0.00000810, -0.00000372, -0.00001046, -0.00000718, -0.00001558, -0.00001177, -0.00001475, -0.00000127, 0.00000602, 0.00000450, 0.00001202, 0.00000949, 0.00000846, 0.00001141, -0.00000101, 0.00001392, 0.00001210, 0.00001285, 0.00000784, 0.00001016, 0.00003128, 0.00001822, 0.00002994, 0.00002474, 0.00003116, 0.00003895, 0.00002998, 0.00003323, 0.00002584, 0.00002949, 0.00003341, 0.00002437, 0.00002566, 0.00003863, 0.00003058, 0.00004037, 0.00004284, 0.00004871, 0.00004808, 0.00005645, 0.00004729, 0.00006100, 0.00005482, 0.00006167, 0.00005325, 0.00006664, 0.00006737, 0.00007579, 0.00007338, 0.00008184, 0.00006941, 0.00006170, 0.00005609, 0.00005716, 0.00006855, 0.00009217, 0.00008228, 0.00008687, 0.00007802, 0.00008316, 0.00008889, 0.00009641, 0.00008632, 0.00008465, 0.00009505, 0.00009287, 0.00010203, 0.00009531, 0.00011026, 0.00010807, 0.00011966, 0.00011791, 0.00011987, 0.00012806, 0.00012020, 0.00013298, 0.00013964, 0.00013206, 0.00014843, 0.00015281, 0.00014245, 0.00014794, 0.00014101, 0.00016127, 0.00015532, 0.00016097, 0.00015868, 0.00016398, 0.00016837, 0.00015119, 0.00016544, 0.00017251, 0.00018237, 0.00019224, 0.00017193, 0.00020609, 0.00021201, 0.00019890, 0.00021199, 0.00021168, 0.00021802, 0.00022577, 0.00022956, 0.00022378, 0.00022953, 0.00021773, 0.00022711, 0.00022063, 0.00023854, 0.00024860, 0.00025360, 0.00024143, 0.00025611, 0.00026825, 0.00025294, 0.00025576, 0.00026714, 0.00026920, 0.00026742, 0.00027880, 0.00027009, 0.00028773, 0.00028450, 0.00029525, 0.00029534, 0.00030075, 0.00031958, 0.00030320, 0.00031446, 0.00031623, 0.00031824, 0.00031532, 0.00031012, 0.00031540, 0.00029157, 0.00032127, 0.00033558, 0.00033884, 0.00035131, 0.00032659, 0.00035286, 0.00036609, 0.00035233, 0.00036571, 0.00037542, 0.00035818, 0.00036771, 0.00037979, 0.00040462, 0.00038531, 0.00037559, 0.00038105, 0.00038280, 0.00040257, 0.00040025, 0.00039623, 0.00038605, 0.00039933, 0.00041842, 0.00041605, 0.00042654, 0.00045683, 0.00041739, 0.00043565, 0.00046022, 0.00045064, 0.00047460, 0.00041865, 0.00045247, 0.00046860, 0.00047006, 0.00046276, 0.00044821, 0.00044709, 0.00043208, 0.00046714, 0.00050400, 0.00049545, 0.00047302, 0.00049919, 0.00052018, 0.00051046, 0.00050540]",
1167,CC_lower_wavelength_limit_for_spectra_fit,217,
1167,CC_upper_wavelength_limit_for_spectra_fit,240,
1167,CC_wl,"[191.13, 191.92, 192.70, 193.49, 194.28, 195.07, 195.86, 196.65, 197.44, 198.22, 199.01, 199.80, 200.59, 201.38, 202.17, 202.96, 203.75, 204.54, 205.34, 206.13, 206.92, 207.71, 208.50, 209.29, 210.08, 210.88, 211.67, 212.46, 213.25, 214.04, 214.84, 215.63, 216.42, 217.22, 218.01, 218.80, 219.60, 220.39, 221.18, 221.98, 222.77, 223.57, 224.36, 225.16, 225.95, 226.75, 227.54, 228.34, 229.13, 229.93, 230.72, 231.52, 232.31, 233.11, 233.90, 234.70, 235.50, 236.29, 237.09, 237.89, 238.68, 239.48, 240.28, 241.07, 241.87, 242.67, 243.46, 244.26, 245.06, 245.86, 246.65, 247.45, 248.25, 249.05, 249.84, 250.64, 251.44, 252.24, 253.03, 253.83, 254.63, 255.43, 256.23, 257.03, 257.82, 258.62, 259.42, 260.22, 261.02, 261.82, 262.62, 263.41, 264.21, 265.01, 265.81, 266.61, 267.41, 268.21, 269.01, 269.81, 270.61, 271.40, 272.20, 273.00, 273.80, 274.60, 275.40, 276.20, 277.00, 277.80, 278.60, 279.40, 280.20, 281.00, 281.79, 282.59, 283.39, 284.19, 284.99, 285.79, 286.59, 287.39, 288.19, 288.99, 289.79, 290.59, 291.39, 292.18, 292.98, 293.78, 294.58, 295.38, 296.18, 296.98, 297.78, 298.58, 299.38, 300.18, 300.97, 301.77, 302.57, 303.37, 304.17, 304.97, 305.77, 306.57, 307.36, 308.16, 308.96, 309.76, 310.56, 311.36, 312.15, 312.95, 313.75, 314.55, 315.35, 316.14, 316.94, 317.74, 318.54, 319.33, 320.13, 320.93, 321.73, 322.52, 323.32, 324.12, 324.91, 325.71, 326.51, 327.30, 328.10, 328.90, 329.69, 330.49, 331.29, 332.08, 332.88, 333.67, 334.47, 335.26, 336.06, 336.85, 337.65, 338.45, 339.24, 340.03, 340.83, 341.62, 342.42, 343.21, 344.01, 344.80, 345.59, 346.39, 347.18, 347.98, 348.77, 349.56, 350.35, 351.15, 351.94, 352.73, 353.53, 354.32, 355.11, 355.90, 356.69, 357.49, 358.28, 359.07, 359.86, 360.65, 361.44, 362.23, 363.02, 363.81, 364.60, 365.39, 366.18, 366.97, 367.76, 368.55, 369.34, 370.13, 370.92, 371.70, 372.49, 373.28, 374.07, 374.85, 375.64, 376.43, 377.22, 378.00, 378.79, 379.58, 380.36, 381.15, 381.93, 382.72, 383.50, 384.29, 385.07, 385.86, 386.64, 387.43, 388.21, 388.99, 389.78, 390.56, 391.34, 392.12, 392.91, 393.69]",
