serial,name,value,notes
NTR-1063,CC_cal_temp,20.00,source_file 3305-00327-00274-A_SN_NTR-1063_Pre-Deployment_NUTNR-B.zip > SNA1063N.CAL; reference update conducted in Clark South Cold Room at 18C
NTR-1063,CC_di,"[0.75, 0.45833333, 7.25, 17, 21.91666667, 31.54166667, 33.70833333, 40.25, 41.5, 49.58333333, 94.125, 342.5, 1269.25, 3713, 8112.20833333, 13659.54166667, 18880, 22720.95833333, 24883.04166667, 25758.58333333, 25662.16666667, 25118.95833333, 24410.875, 23789.75, 23333.625, 23154.41666667, 23293.875, 23746.83333333, 24508.625, 25621.54166667, 27042.125, 28774.70833333, 30822.33333333, 33052.66666667, 35404.5, 37717.41666667, 39816.79166667, 41549.375, 42733.125, 43262.45833333, 43071.70833333, 42206.54166667, 40776.125, 39205.875, 37472, 35785.08333333, 34315.25, 33095.375, 32165, 31615.25, 31340.04166667, 31354.16666667, 31629.54166667, 32145.20833333, 32875.45833333, 33828.83333333, 34946.875, 36219.375, 37690.375, 39200.04166667, 40776.95833333, 42379.41666667, 43851.91666667, 45257.04166667, 46344.29166667, 47084.04166667, 47432.83333333, 47290.54166667, 46670.45833333, 45597, 44127.66666667, 42352.04166667, 40389.83333333, 38387.5, 36387.125, 34483.875, 32758.41666667, 31176.75, 29799.58333333, 28578.04166667, 27543.66666667, 26708.66666667, 26009.33333333, 25481.91666667, 25107.5, 24866.20833333, 24783.75, 24832.45833333, 24990.66666667, 25277.79166667, 25697.08333333, 26179.83333333, 26795.91666667, 27512.29166667, 28257.20833333, 29047.25, 29831.5, 30589.125, 31247.16666667, 31823.95833333, 32232.58333333, 32456.04166667, 32465.875, 32240.70833333, 31817.04166667, 31167.79166667, 30357.54166667, 29466.58333333, 28457.375, 27419.95833333, 26387.375, 25390.41666667, 24447.08333333, 23468.625, 22668.16666667, 22098.08333333, 21503.91666667, 20992.91666667, 20589.33333333, 20201.33333333, 20057.95833333, 19919.95833333, 19870.58333333, 19916.91666667, 20012.79166667, 20227.75, 20480.125, 20814.70833333, 21204.875, 21648.54166667, 22119.79166667, 22661.79166667, 23231.70833333, 23829.54166667, 24456.125, 25081.08333333, 25739.29166667, 26400.04166667, 27027, 27653.41666667, 28236.25, 28750.95833333, 29202.58333333, 29608.75, 29901.33333333, 30127.58333333, 30250.70833333, 30262.70833333, 30174.33333333, 29978.95833333, 29719.375, 29357.16666667, 28906.20833333, 28375.66666667, 27816.04166667, 27177.45833333, 26524.33333333, 25855.25, 25135.41666667, 24500.33333333, 23836.41666667, 23187.20833333, 22580.70833333, 21967.04166667, 21349.20833333, 20761.83333333, 20175.66666667, 19592, 19022.45833333, 18446.875, 17872.20833333, 17362.91666667, 16891.54166667, 16454.70833333, 16071.875, 15720.16666667, 15409.875, 15147.16666667, 14937.16666667, 14763.58333333, 14605.25, 14461.66666667, 14368.16666667, 14275.16666667, 14183.20833333, 14091.91666667, 14020.79166667, 13934.08333333, 13851.79166667, 13748.70833333, 13655.54166667, 13574.91666667, 13498.95833333, 13427.20833333, 13362.91666667, 13306.25, 13235, 13189.79166667, 13149.04166667, 13116.41666667, 13090.66666667, 13058.95833333, 13017.16666667, 12987.125, 12959.25, 12912.54166667, 12883.33333333, 12833.66666667, 12762.08333333, 12687.875, 12599.20833333, 12499.75, 12383.75, 12258.29166667, 12119, 11981.125, 11827.16666667, 11672.875, 11514.20833333, 11344, 11140.29166667, 10908.95833333, 10631.41666667, 10355.375, 10093.83333333, 9839.25, 9613.54166667, 9414.125, 9060.29166667, 8945.875, 8890.33333333, 8757.04166667, 8624.29166667, 8497.08333333, 8367.625, 8242.04166667, 8082.33333333, 7887.54166667, 7699.625, 7528.375, 7368.75, 7236.08333333, 7100.91666667, 6989.58333333, 6889.95833333, 6799.625, 6721, 6664.375, 6597.5, 6545.33333333, 6499.125, 6462.29166667, 6427.375, 6385.875, 6328.79166667, 6105.91666667]",
NTR-1063,CC_eno3,"[-0.00333456, 0.00499664, -0.00580819, -0.00809088, -0.00315432, -0.00567917, -0.00214134, -0.00006139, 0.00742228, 0.00232382, 0.00371195, 0.00615217, -0.00055572, 0.0049951, 0.00098772, 0.00037168, 0.00091615, 0.00012477, 0.0003478, 0.00220061, 0.00577618, 0.00353212, 0.00655512, 0.00644889, 0.00640525, 0.00656905, 0.00643341, 0.00637212, 0.00625082, 0.00586605, 0.00560779, 0.0053045, 0.00496546, 0.00462012, 0.00430743, 0.0039852, 0.00365948, 0.00335144, 0.00304919, 0.00276012, 0.00247447, 0.00221836, 0.00197505, 0.00173852, 0.00152851, 0.00133645, 0.00115885, 0.00099351, 0.00084531, 0.00072356, 0.00061223, 0.00051311, 0.0004213, 0.0003562, 0.00027587, 0.00023272, 0.00018204, 0.00014522, 0.00010707, 0.00008659, 0.00006091, 0.00003994, 0.00002485, 0.00001591, 0.00000637, 0.00000106, -0.00000753, -0.0000066, -0.00000412, -0.0000091, -0.00001107, -0.00000394, -0.00001128, -0.00000655, -0.00001457, 0.000001, 0.00000253, -0.00000092, -0.00000405, -0.00000476, 0.00000181, 0.00000154, 0.00000751, 0.00000144, 0.00000831, 0.00000294, 0.00000923, 0.00001478, 0.00001164, 0.00002625, 0.00002571, 0.0000284, 0.00003172, 0.00003205, 0.00003575, 0.00003577, 0.0000379, 0.00004583, 0.00004753, 0.0000613, 0.00006603, 0.00006548, 0.00007078, 0.00007919, 0.00007667, 0.00008882, 0.00008769, 0.00008016, 0.00009363, 0.00009044, 0.0001, 0.00009442, 0.00010121, 0.00010009, 0.00010587, 0.00012082, 0.00011885, 0.0001278, 0.00012275, 0.0001376, 0.00013142, 0.00013892, 0.00014394, 0.00015311, 0.0001492, 0.00014307, 0.00014001, 0.00014911, 0.00015725, 0.00015575, 0.00016366, 0.00017406, 0.00016909, 0.00018261, 0.00018509, 0.0001815, 0.00019292, 0.00019072, 0.00019768, 0.00020173, 0.00019166, 0.00019116, 0.00020827, 0.00020704, 0.00020517, 0.00021052, 0.00022024, 0.00022449, 0.00023101, 0.00022993, 0.00025323, 0.00024223, 0.00026207, 0.00025701, 0.00026051, 0.00026702, 0.00026276, 0.00026308, 0.00025953, 0.00027782, 0.00029024, 0.00028387, 0.00027937, 0.00028643, 0.00030433, 0.00030099, 0.00032491, 0.00030346, 0.00030878, 0.00031604, 0.00031486, 0.0003192, 0.00030976, 0.00031949, 0.00033368, 0.000326, 0.00033663, 0.00035001, 0.00035085, 0.00036092, 0.00036293, 0.0003647, 0.00034185, 0.00037617, 0.00038246, 0.00037373, 0.00039414, 0.00038785, 0.00038846, 0.00039217, 0.00040316, 0.00040317, 0.00040461, 0.00041018, 0.00041499, 0.00041734, 0.00043614, 0.00042367, 0.0004379, 0.00043133, 0.00044894, 0.00045155, 0.00044818, 0.00047016, 0.00047883, 0.00046088, 0.00047799, 0.00046319, 0.0004842, 0.0005132, 0.00049106, 0.00050597, 0.00051852, 0.0005138, 0.00053252, 0.00052673, 0.00055134, 0.00053873, 0.00053137, 0.00055555, 0.0005329, 0.00054984, 0.00053928, 0.00054992, 0.00053852, 0.00055948, 0.00056945, 0.00057161, 0.00061038, 0.00057819, 0.0005895, 0.00057729, 0.00059265, 0.00062767, 0.00059929, 0.00062059, 0.00061366, 0.00062515, 0.00062999, 0.0006454, 0.00062397, 0.00067173, 0.00063296, 0.00066852, 0.0006702, 0.0007008, 0.00067041, 0.00067721, 0.0006358, 0.00066761, 0.00066271, 0.00071754, 0.00065331, 0.00067765, 0.00071725, 0.00068979]",
NTR-1063,CC_eswa,"[-0.00601776, -0.00135308, -0.00634013, 0.01012002, 0.00613495, 0.01349437, 0.01526184, 0.00733227, -0.00268454, 0.00157138, 0.00812404, 0.01715789, 0.03807456, 0.04578717, 0.05978323, 0.06427203, 0.06908928, 0.07427176, 0.07588565, 0.0753446, 0.07237766, 0.06920959, 0.06115653, 0.05513756, 0.04642989, 0.03901775, 0.03238741, 0.02668252, 0.0217256, 0.01761707, 0.01416423, 0.01134435, 0.00901523, 0.00714116, 0.00563194, 0.00444354, 0.00349531, 0.00274656, 0.00217009, 0.00170377, 0.0013431, 0.00105856, 0.00083486, 0.00067003, 0.00054036, 0.00043522, 0.00034865, 0.00029203, 0.00024353, 0.00019861, 0.00016885, 0.00014973, 0.00013336, 0.00009863, 0.00009114, 0.00007465, 0.00007151, 0.00006056, 0.00005594, 0.00003716, 0.00003267, 0.00003451, 0.00002482, 0.00001833, 0.00000484, 0.00000251, 0.00000622, -0.00000213, -0.00001274, -0.00000634, -0.00000334, -0.00001284, -0.0000103, -0.00000562, -0.00000638, -0.00000798, -0.00000706, -0.00001263, -0.00000838, -0.00000869, -0.00001243, 0.00001231, -0.00000288, 0.00000365, 0.00000483, 0.00002093, 0.00002129, 0.00001274, 0.00001468, 0.00001331, 0.00002989, 0.00002045, 0.0000277, 0.00002352, 0.00002967, 0.00003147, 0.00003802, 0.00003121, 0.00002795, 0.00002492, 0.00002254, 0.00002834, 0.00001572, 0.00002585, 0.00003843, 0.00003049, 0.00003421, 0.00004754, 0.00003862, 0.00003795, 0.0000408, 0.00004317, 0.00004421, 0.0000509, 0.00004167, 0.00003421, 0.00004414, 0.00004243, 0.00005471, 0.00004956, 0.00006159, 0.00005453, 0.00005056, 0.00005601, 0.00005614, 0.00007226, 0.00007362, 0.0000797, 0.00007271, 0.00008961, 0.00007811, 0.00007006, 0.0000776, 0.0000873, 0.00008495, 0.00009144, 0.00009301, 0.00009457, 0.00010048, 0.00009987, 0.00011307, 0.00010905, 0.00010375, 0.00011691, 0.00012301, 0.00012348, 0.00011655, 0.00012872, 0.00012358, 0.000124, 0.00010786, 0.00012549, 0.00011215, 0.00012507, 0.00012457, 0.00011609, 0.000123, 0.00012881, 0.00012763, 0.00012718, 0.00013421, 0.0001361, 0.00014791, 0.00013839, 0.00013879, 0.00013906, 0.00014098, 0.00015224, 0.00015049, 0.00015321, 0.00014909, 0.00015937, 0.00015615, 0.00018151, 0.00016476, 0.00018558, 0.00017715, 0.00018691, 0.00018945, 0.00015741, 0.00015971, 0.00016916, 0.0001859, 0.0001779, 0.00017506, 0.00019215, 0.00018632, 0.00020066, 0.00020885, 0.0002191, 0.00019892, 0.00020306, 0.00021126, 0.00019781, 0.00020289, 0.00020058, 0.00019532, 0.00020032, 0.00019451, 0.00019838, 0.00021168, 0.00021161, 0.00020397, 0.00020185, 0.00018317, 0.00021256, 0.00018301, 0.00022051, 0.0002032, 0.00018559, 0.00020905, 0.00020293, 0.00017014, 0.00018966, 0.00019272, 0.00020869, 0.00020674, 0.00020623, 0.0002317, 0.00021578, 0.00022593, 0.00023011, 0.00021969, 0.00023781, 0.0002266, 0.00024161, 0.00021571, 0.00021258, 0.00020056, 0.00024206, 0.00021196, 0.00021434, 0.00021942, 0.00022305, 0.00024225, 0.00021121, 0.00023571, 0.00022042, 0.00021895, 0.00019999, 0.00024698, 0.00019581, 0.00028824, 0.00022816, 0.00021169, 0.00020742, 0.00022521, 0.00024491, 0.00026351, 0.00025845, 0.00028059, 0.00022231, 0.00029136, 0.00026614, 0.00027496, 0.00023381]",
NTR-1063,CC_lower_wavelength_limit_for_spectra_fit,217,constant
NTR-1063,CC_upper_wavelength_limit_for_spectra_fit,240,constant
NTR-1063,CC_wl,"[190.28, 191.08, 191.88, 192.68, 193.48, 194.28, 195.09, 195.89, 196.69, 197.49, 198.3, 199.1, 199.9, 200.71, 201.51, 202.31, 203.12, 203.92, 204.73, 205.53, 206.34, 207.14, 207.95, 208.75, 209.56, 210.36, 211.17, 211.97, 212.78, 213.58, 214.39, 215.2, 216, 216.81, 217.62, 218.42, 219.23, 220.04, 220.84, 221.65, 222.46, 223.27, 224.07, 224.88, 225.69, 226.5, 227.3, 228.11, 228.92, 229.73, 230.54, 231.35, 232.15, 232.96, 233.77, 234.58, 235.39, 236.2, 237.01, 237.82, 238.63, 239.43, 240.24, 241.05, 241.86, 242.67, 243.48, 244.29, 245.1, 245.91, 246.72, 247.53, 248.34, 249.15, 249.96, 250.77, 251.58, 252.39, 253.2, 254.01, 254.82, 255.63, 256.45, 257.26, 258.07, 258.88, 259.69, 260.5, 261.31, 262.12, 262.93, 263.74, 264.55, 265.36, 266.17, 266.98, 267.8, 268.61, 269.42, 270.23, 271.04, 271.85, 272.66, 273.47, 274.28, 275.09, 275.9, 276.72, 277.53, 278.34, 279.15, 279.96, 280.77, 281.58, 282.39, 283.2, 284.01, 284.82, 285.63, 286.44, 287.26, 288.07, 288.88, 289.69, 290.5, 291.31, 292.12, 292.93, 293.74, 294.55, 295.36, 296.17, 296.98, 297.79, 298.6, 299.41, 300.22, 301.03, 301.84, 302.65, 303.46, 304.27, 305.08, 305.89, 306.7, 307.51, 308.31, 309.12, 309.93, 310.74, 311.55, 312.36, 313.17, 313.98, 314.78, 315.59, 316.4, 317.21, 318.02, 318.83, 319.63, 320.44, 321.25, 322.06, 322.86, 323.67, 324.48, 325.29, 326.09, 326.9, 327.71, 328.51, 329.32, 330.12, 330.93, 331.74, 332.54, 333.35, 334.15, 334.96, 335.77, 336.57, 337.38, 338.18, 338.99, 339.79, 340.59, 341.4, 342.2, 343.01, 343.81, 344.61, 345.42, 346.22, 347.02, 347.83, 348.63, 349.43, 350.23, 351.04, 351.84, 352.64, 353.44, 354.24, 355.05, 355.85, 356.65, 357.45, 358.25, 359.05, 359.85, 360.65, 361.45, 362.25, 363.05, 363.85, 364.65, 365.45, 366.24, 367.04, 367.84, 368.64, 369.44, 370.23, 371.03, 371.83, 372.62, 373.42, 374.22, 375.01, 375.81, 376.6, 377.4, 378.2, 378.99, 379.78, 380.58, 381.37, 382.17, 382.96, 383.75, 384.55, 385.34, 386.13, 386.93, 387.72, 388.51, 389.3, 390.09, 390.88, 391.67, 392.46, 393.25, 394.04, 394.83, 395.62]",
