serial,name,value,notes
NTR-1106,CC_cal_temp,20.00,source_file 3305-00327-00265-A_SN_NTR-1106_Pre-Deployment_NUTNR-B.zip > SNA1106H.CAL; reference update conducted in Clark South Cold Room at 18C
NTR-1106,CC_di,"[2, 7.25, 13.41666667, 19.41666667, 19.20833333, 24.875, 20.66666667, 16.66666667, 26.75, 66.91666667, 257.95833333, 862.95833333, 2297.875, 5078.41666667, 9408.54166667, 14662.91666667, 19559.33333333, 23089.20833333, 25129.20833333, 26034.41666667, 26393.33333333, 26589.79166667, 26875.16666667, 27404.95833333, 28254.08333333, 29450.5, 30984.70833333, 32960.95833333, 35222.625, 37785.5, 40488.08333333, 43212.375, 45774.83333333, 47970.58333333, 49581.125, 50506.29166667, 50613.70833333, 49930.41666667, 48624.08333333, 46844.875, 44795, 42730.125, 40787.54166667, 39112.625, 37794.66666667, 36822.33333333, 36223.75, 36026.04166667, 36177.125, 36686.625, 37579.58333333, 38752.33333333, 40257.66666667, 42026.75, 43996.29166667, 46212.25, 48484.66666667, 50808.04166667, 53040.91666667, 55054.54166667, 56740.20833333, 58017.45833333, 58688.08333333, 58828.70833333, 58302.58333333, 57153.5, 55450.375, 53363.66666667, 50977.75, 48409.08333333, 45858.54166667, 43406.04166667, 41085.04166667, 39030.875, 37179.75, 35561.33333333, 34184.875, 33026.04166667, 32065.83333333, 31342, 30748.58333333, 30337.41666667, 30105.41666667, 30001.08333333, 30059.45833333, 30259.83333333, 30593.79166667, 31042.25, 31594.58333333, 32256.375, 32979.58333333, 33770.45833333, 34551.41666667, 35321.83333333, 36032.875, 36633.83333333, 37097.08333333, 37364.875, 37400.29166667, 37208.66666667, 36751.45833333, 36047.70833333, 35154.83333333, 34083.66666667, 32901, 31647.33333333, 30381.41666667, 29138.75, 27968.58333333, 26861.75, 25870.20833333, 24994.08333333, 24207.45833333, 23554.875, 22996.66666667, 22551.20833333, 22194.5, 21945.41666667, 21779.33333333, 21713.41666667, 21747.91666667, 21846.5, 22058.625, 22358.95833333, 22734.08333333, 22864.20833333, 23731.79166667, 24395.95833333, 25101.75, 25866.33333333, 26690.25, 27556.41666667, 28462.66666667, 29357.45833333, 30289.79166667, 31196.29166667, 32083.91666667, 32915.95833333, 33694.66666667, 34368.5, 34981.08333333, 35443.5, 35788.83333333, 36010.20833333, 36075.16666667, 35991.54166667, 35807.5, 35457.16666667, 34999.125, 34421.125, 33764.25, 33043.20833333, 32253.41666667, 31421.875, 30602.29166667, 29756.54166667, 28921.29166667, 28096.41666667, 27324.41666667, 26573.125, 25879.04166667, 25226.41666667, 24625.45833333, 24081.125, 23584.5, 23106.125, 22696.83333333, 22310.16666667, 21937.25, 21598.45833333, 21248.45833333, 20913.5, 20590.95833333, 20295.08333333, 20036.41666667, 19809.83333333, 19603.33333333, 19435.95833333, 19309.875, 19223.75, 19166.79166667, 19148.29166667, 19157.70833333, 19178.33333333, 19231.83333333, 19273.95833333, 19332.25, 19397, 19459.20833333, 19515.33333333, 19558.41666667, 19589.75, 19631.66666667, 19680.45833333, 19727, 19790.75, 19835.95833333, 19851.29166667, 19868, 19869.625, 19870.20833333, 19873, 19854.75, 19812.33333333, 19741.75, 19643.625, 19533.41666667, 19401.83333333, 19238.45833333, 19048.33333333, 18835, 18582, 18304.54166667, 18013.08333333, 17690.75, 17368.20833333, 17023.45833333, 16663.625, 16325.79166667, 16002.95833333, 15673.75, 15365.25, 15019.91666667, 14621.95833333, 14219.29166667, 13805.33333333, 13427.79166667, 13109, 12823.70833333, 12560.16666667, 12341.29166667, 12142.625, 11968.45833333, 11816.66666667, 11690.83333333, 11613.75, 11538.33333333, 11411.91666667, 11225, 11021.625, 10850.33333333, 10697.125, 10572.16666667, 10443.04166667, 10342.875, 10264.25, 10216.41666667, 10183.5, 10153.33333333, 10100.79166667, 10079.33333333, 10101.375, 10169.41666667, 10252.875, 10192.79166667, 9742.70833333]",
NTR-1106,CC_eno3,"[-0.00323973, 0.0007518, -0.00652574, 0.00186117, 0.00489149, -0.0023405, 0.00464545, -0.00298631, 0.00509357, 0.00399457, 0.00479615, -0.0027772, 0.00456065, 0.00112667, 0.00430746, 0.00166925, 0.00464481, 0.00354431, -0.00111636, 0.00131061, 0.00233388, 0.00188712, 0.00625917, 0.00574717, 0.00676693, 0.00646605, 0.00667136, 0.00633766, 0.0061185, 0.00579508, 0.00553867, 0.00525723, 0.0049523, 0.00466341, 0.00435005, 0.00405579, 0.00375456, 0.00344528, 0.0031625, 0.00286279, 0.00259129, 0.00231685, 0.00206398, 0.00183669, 0.00161817, 0.00140231, 0.00122352, 0.00105183, 0.00090833, 0.00076956, 0.00065171, 0.00054739, 0.0004567, 0.00038883, 0.00031444, 0.00025968, 0.00021967, 0.00017344, 0.00013692, 0.00011142, 0.00008783, 0.00006426, 0.00004264, 0.00003147, 0.00002272, 0.00000719, 0.00000017, -0.00000276, -0.00000731, -0.00001224, -0.00001282, -0.00001102, -0.00000549, -0.00000754, -0.00001015, -0.00001561, -0.00000522, -0.00000608, -0.00000742, -0.00000154, -0.00000176, 0.00000219, 0.00000652, 0.00000168, 0.00000404, 0.00000675, 0.00000826, 0.00001597, 0.00001533, 0.00001769, 0.00003441, 0.00002781, 0.00004042, 0.00004189, 0.00003779, 0.00004726, 0.00004655, 0.0000415, 0.00004288, 0.00003665, 0.00004203, 0.00004791, 0.00005411, 0.00005734, 0.00007191, 0.00007593, 0.00007735, 0.00007874, 0.00008461, 0.00008671, 0.00009048, 0.00008594, 0.00008488, 0.00009732, 0.00009654, 0.00008141, 0.00009931, 0.0001032, 0.00011855, 0.00012152, 0.00012719, 0.00011587, 0.00011632, 0.00012115, 0.00012047, 0.00012598, 0.00012706, 0.00013044, 0.00014133, 0.00013326, 0.00014405, 0.00014064, 0.00014834, 0.00015152, 0.00015042, 0.00016112, 0.00016546, 0.00017113, 0.00017794, 0.00017308, 0.00017392, 0.00017782, 0.00018501, 0.00019111, 0.00019028, 0.00019627, 0.00019233, 0.00019072, 0.000199, 0.00020364, 0.00020342, 0.00020246, 0.00020292, 0.00021689, 0.00022083, 0.00022467, 0.00022417, 0.00022153, 0.00022782, 0.00023855, 0.00023826, 0.00024211, 0.00024413, 0.00025478, 0.00024925, 0.00025036, 0.00025049, 0.00026296, 0.00026745, 0.00027718, 0.0002771, 0.00028239, 0.00026625, 0.00027298, 0.00025603, 0.00026696, 0.00026731, 0.00027073, 0.00029307, 0.00028746, 0.0003215, 0.00031637, 0.00031157, 0.00030997, 0.0003376, 0.00031341, 0.00031476, 0.00032275, 0.00031171, 0.00033006, 0.00032284, 0.0003294, 0.00033646, 0.00034627, 0.00034313, 0.00036534, 0.00034662, 0.00034521, 0.00037318, 0.00036832, 0.00037972, 0.00036444, 0.00038195, 0.00038825, 0.00037604, 0.00037518, 0.00039041, 0.00038796, 0.00039064, 0.00042299, 0.0004113, 0.0004141, 0.00042581, 0.00041861, 0.00041827, 0.0004229, 0.0004249, 0.00041901, 0.00042381, 0.00042343, 0.0004352, 0.00043641, 0.0004406, 0.00044664, 0.00044649, 0.00044682, 0.0004506, 0.00046131, 0.00047085, 0.0004829, 0.00047384, 0.0004722, 0.00047941, 0.00047293, 0.000506, 0.00047319, 0.00050538, 0.0004923, 0.00049257, 0.00052473, 0.00051129, 0.0005174, 0.00056871, 0.00054053, 0.00052395, 0.00054565, 0.00052718, 0.00050972, 0.00050874, 0.00053553, 0.00054046, 0.0005283, 0.00057287, 0.00054094, 0.00058382, 0.0005783]",
NTR-1106,CC_eswa,"[0.01167213, 0.00257065, -0.0019409, -0.00239568, -0.00189333, -0.00045192, 0.00132487, 0.00317114, 0.00088086, 0.00560717, 0.01913742, 0.04242524, 0.05070013, 0.06762274, 0.06504763, 0.07754284, 0.07714774, 0.07803455, 0.07794641, 0.07858596, 0.07326669, 0.06895284, 0.06192323, 0.05481481, 0.04643634, 0.03895445, 0.03254844, 0.02705183, 0.02229515, 0.01830275, 0.01492552, 0.01213489, 0.00981603, 0.00790073, 0.00632746, 0.00504436, 0.00400924, 0.00317427, 0.00249702, 0.00196894, 0.00154015, 0.00121628, 0.00095348, 0.00074713, 0.00059409, 0.00048089, 0.00038639, 0.00032613, 0.00026368, 0.00021623, 0.00018518, 0.00016457, 0.00013811, 0.00010886, 0.00009806, 0.00007859, 0.00005868, 0.00005136, 0.00004307, 0.00003332, 0.00002415, 0.00001949, 0.0000174, 0.0000115, 0.00000573, 0.00000753, 0.00000916, 0.00000157, -0.00000297, -0.00000258, 0.00000279, -0.00000116, -0.00000682, -0.00001195, -0.00000489, -0.00000145, -0.00000954, -0.00000794, -0.00000315, -0.00000655, -0.00000753, -0.00000444, -0.00001803, -0.00000023, 0.0000084, 0.00001064, 0.0000168, 0.0000151, 0.00001891, 0.00000893, 0.00000569, 0.00001547, 0.00000873, 0.00001264, 0.00002011, 0.00002006, 0.00002423, 0.00004205, 0.0000419, 0.00004384, 0.0000396, 0.00005191, 0.00005102, 0.00005905, 0.00005361, 0.00004757, 0.00006044, 0.00005876, 0.00006078, 0.00006134, 0.00005212, 0.00006343, 0.00006095, 0.00004963, 0.00006432, 0.00008567, 0.00009126, 0.00008036, 0.00007961, 0.00007588, 0.00008609, 0.00008142, 0.00008875, 0.00008802, 0.00008452, 0.00008892, 0.00008841, 0.00009331, 0.00011104, 0.00012265, 0.00011354, 0.00012671, 0.0001264, 0.00012336, 0.00013135, 0.00012802, 0.00012552, 0.00012693, 0.00012564, 0.00014015, 0.00014323, 0.00014978, 0.0001519, 0.0001564, 0.00016282, 0.00016264, 0.00016939, 0.00017446, 0.00018067, 0.00017561, 0.00018945, 0.00018909, 0.0001829, 0.00018066, 0.00019702, 0.00019764, 0.00020572, 0.00021668, 0.00022143, 0.00021083, 0.00021536, 0.00020549, 0.00020647, 0.00020902, 0.00023064, 0.00022774, 0.00023895, 0.00024238, 0.00025269, 0.00023577, 0.00025151, 0.00024805, 0.00025729, 0.00026155, 0.00027658, 0.00027073, 0.00028061, 0.00027351, 0.00028625, 0.00029459, 0.00028186, 0.00029168, 0.00029944, 0.00029993, 0.00028815, 0.00030777, 0.00030478, 0.00031266, 0.00032466, 0.00031608, 0.00034979, 0.00033779, 0.00034968, 0.00033763, 0.00035615, 0.00032902, 0.00035004, 0.00034524, 0.00034914, 0.0003528, 0.00033624, 0.0003652, 0.00035113, 0.00035305, 0.00037202, 0.00037268, 0.00038631, 0.00038056, 0.00040017, 0.00037971, 0.0004002, 0.00039298, 0.00039458, 0.00041762, 0.00041548, 0.00041746, 0.00042693, 0.00041814, 0.00042417, 0.00041947, 0.00042778, 0.00044489, 0.00043445, 0.00043469, 0.00042941, 0.00046936, 0.00046353, 0.00043878, 0.00043294, 0.00045023, 0.00046943, 0.00047519, 0.00046177, 0.00047746, 0.0004564, 0.00050367, 0.00049141, 0.00047559, 0.00051562, 0.00049293, 0.00050066, 0.00048254, 0.00046248, 0.00049495, 0.00051367, 0.00049218, 0.00051698, 0.00054636, 0.00056852, 0.00054242, 0.0005503, 0.00054648, 0.00051385, 0.0005755, 0.00054126, 0.00055057]",
NTR-1106,CC_lower_wavelength_limit_for_spectra_fit,217,constant
NTR-1106,CC_upper_wavelength_limit_for_spectra_fit,240,constant
NTR-1106,CC_wl,"[190.16, 190.95, 191.74, 192.53, 193.32, 194.11, 194.9, 195.69, 196.49, 197.28, 198.07, 198.86, 199.66, 200.45, 201.24, 202.04, 202.83, 203.62, 204.42, 205.21, 206.01, 206.8, 207.6, 208.39, 209.19, 209.98, 210.78, 211.57, 212.37, 213.16, 213.96, 214.76, 215.55, 216.35, 217.15, 217.95, 218.74, 219.54, 220.34, 221.14, 221.93, 222.73, 223.53, 224.33, 225.13, 225.93, 226.73, 227.53, 228.33, 229.13, 229.92, 230.72, 231.52, 232.32, 233.13, 233.93, 234.73, 235.53, 236.33, 237.13, 237.93, 238.73, 239.53, 240.33, 241.14, 241.94, 242.74, 243.54, 244.34, 245.15, 245.95, 246.75, 247.55, 248.36, 249.16, 249.96, 250.76, 251.57, 252.37, 253.17, 253.98, 254.78, 255.58, 256.39, 257.19, 257.99, 258.8, 259.6, 260.41, 261.21, 262.01, 262.82, 263.62, 264.43, 265.23, 266.04, 266.84, 267.65, 268.45, 269.26, 270.06, 270.87, 271.67, 272.48, 273.28, 274.09, 274.89, 275.7, 276.5, 277.31, 278.11, 278.92, 279.72, 280.53, 281.33, 282.14, 282.94, 283.75, 284.56, 285.36, 286.17, 286.97, 287.78, 288.58, 289.39, 290.2, 291, 291.81, 292.61, 293.42, 294.22, 295.03, 295.84, 296.64, 297.45, 298.25, 299.06, 299.86, 300.67, 301.48, 302.28, 303.09, 303.89, 304.7, 305.5, 306.31, 307.12, 307.92, 308.73, 309.53, 310.34, 311.14, 311.95, 312.75, 313.56, 314.36, 315.17, 315.97, 316.78, 317.58, 318.39, 319.19, 320, 320.8, 321.61, 322.41, 323.22, 324.02, 324.83, 325.63, 326.44, 327.24, 328.04, 328.85, 329.65, 330.46, 331.26, 332.06, 332.87, 333.67, 334.48, 335.28, 336.08, 336.89, 337.69, 338.49, 339.3, 340.1, 340.9, 341.7, 342.51, 343.31, 344.11, 344.91, 345.72, 346.52, 347.32, 348.12, 348.92, 349.72, 350.53, 351.33, 352.13, 352.93, 353.73, 354.53, 355.33, 356.13, 356.93, 357.73, 358.53, 359.33, 360.13, 360.93, 361.73, 362.53, 363.33, 364.13, 364.93, 365.73, 366.53, 367.32, 368.12, 368.92, 369.72, 370.52, 371.31, 372.11, 372.91, 373.71, 374.5, 375.3, 376.1, 376.89, 377.69, 378.48, 379.28, 380.08, 380.87, 381.67, 382.46, 383.26, 384.05, 384.84, 385.64, 386.43, 387.23, 388.02, 388.81, 389.61, 390.4, 391.19, 391.98, 392.78, 393.57, 394.36]",
