serial,name,value,notes
16-50004,CC_a0,1.272214e-003,source_file CTDBP-C_SBE_16PlusV2_SN_16-50004_Calibration_Files_2023-08-15.zip > 50004.cal
16-50004,CC_a1,2.735180e-004,
16-50004,CC_a2,-1.349235e-006,
16-50004,CC_a3,1.912606e-007,
16-50004,CC_cpcor,-9.570000e-008,
16-50004,CC_ctcor,3.250000e-006,
16-50004,CC_g,-9.884120e-001,
16-50004,CC_h,1.396021e-001,
16-50004,CC_i,-1.950817e-004,
16-50004,CC_j,3.417617e-005,
16-50004,CC_pa0,1.605573e-001,
16-50004,CC_pa1,4.837912e-004,
16-50004,CC_pa2,-2.612079e-012,
16-50004,CC_ptca0,5.243670e+005,
16-50004,CC_ptca1,2.632598e+001,
16-50004,CC_ptca2,-5.203858e-001,
16-50004,CC_ptcb0,2.502037e+001,
16-50004,CC_ptcb1,-3.250000e-004,
16-50004,CC_ptcb2,0.000000e+000,
16-50004,CC_ptempa0,-8.389905e+001,
16-50004,CC_ptempa1,4.784059e+001,
16-50004,CC_ptempa2,-2.799609e-001,
