serial,name,value,notes
721-2106,CC_k0=-1.5636490000029906,
721-2106,CC_k2=-8.889574e-04,
721-2106,CC_f0=-1.563755568669e+00,
721-2106,CC_f1=5.866799553412e-06,
721-2106,CC_f2=7.675593944410e-09,
721-2106,CC_f3=-2.515617420498e-11,
721-2106,CC_f4=2.453268145239e-14,
721-2106,CC_f5=-1.028809654505e-17,
721-2106,CC_f6=1.597064961482e-21,
721-2106,CC_ta0=-1.739742e-004,
721-2106,CC_ta1=3.154110e-004,
721-2106,CC_ta2=-4.863982e-006,
721-2106,CC_ta3=2.130967e-007,
721-2106,CC_cg=-9.996553e-001,
721-2106,CC_ch=1.213221e-001,
721-2106,CC_ci=-1.856730e-004,
721-2106,CC_cj=2.812110e-005,
721-2106,CC_ctcor=3.250000e-006,
721-2106,CC_cpcor=-9.570000e-008,
721-2106,CC_wbotc=-2.319375e-007,
721-2106,CC_pa0=1.525590e-002,
721-2106,CC_pa1=9.009627e-003,
721-2106,CC_pa2=5.228915e-011,
721-2106,CC_ptca0=5.230057e+005,
721-2106,CC_ptca1=-8.875914e+000,
721-2106,CC_ptca2=3.910675e-001,
721-2106,CC_ptcb0=1.030663e+002,
721-2106,CC_ptcb1=-7.479532e-003,
721-2106,CC_ptcb2=0.000000e+000,
721-2106,CC_ptempa0=-9.674716e+001,
721-2106,CC_ptempa1=3.981444e-002,
721-2106,CC_ptempa2=1.429355e-006,
721-2106,CC_set_a0=1.051300e+000,
721-2106,CC_set_a1=-1.500000e-003,
721-2106,CC_set_a2=4.544030e-001,
721-2106,CC_set_b0=-2.351837e-001,
721-2106,CC_set_b1=1.677131e+000,
721-2106,CC_set_c0=9.812775e-002,
721-2106,CC_set_c1=4.169250e-003,
721-2106,CC_set_c2=5.399086e-005,
721-2106,CC_set_ta0=6.843359e-004,
721-2106,CC_set_ta1=2.557777e-004,
721-2106,CC_set_ta2=2.746361e-007,
721-2106,CC_set_ta3=1.128614e-007,
721-2106,CC_set_e=1.100000e-002,
